time,ax,ay,az,aT
1.327,-0.75,1.31,-0.53,1.60
1.333,-0.77,1.12,-0.63,1.50
1.337,-0.86,0.91,-0.61,1.40
1.342,-0.91,0.72,-0.60,1.30
1.349,-0.95,0.51,-0.49,1.19
1.353,-1.04,0.36,-0.42,1.18
1.358,-1.12,0.19,-0.29,1.17
1.363,-1.18,0.01,-0.08,1.18
1.369,-1.27,-0.10,0.13,1.28
1.373,-1.51,-0.16,0.44,1.58
1.377,-1.84,-0.09,0.75,1.99
1.383,-2.18,0.16,0.97,2.39
1.388,-2.42,0.29,1.16,2.70
1.393,-2.52,0.31,1.37,2.89
1.399,-2.40,0.21,1.55,2.87
1.403,-2.12,-0.06,1.67,2.71
1.408,-1.80,-0.37,1.66,2.48
1.413,-1.29,-0.65,1.57,2.13
1.419,-0.89,-0.75,1.39,1.81
1.423,-0.64,-0.76,1.33,1.66
1.428,-0.39,-0.61,1.32,1.50
1.434,-0.33,-0.40,1.33,1.43
1.439,-0.24,-0.17,1.44,1.47
1.443,-0.20,-0.00,1.44,1.46
1.449,-0.07,0.08,1.58,1.59
1.453,-0.07,0.06,1.56,1.56
1.458,-0.02,-0.00,1.47,1.47
1.465,0.08,-0.08,1.29,1.29
1.469,0.34,-0.05,1.11,1.16
1.477,0.80,-0.03,1.01,1.29
1.485,1.18,-0.00,0.88,1.47
1.486,1.31,-0.15,0.60,1.45
1.490,1.19,-0.35,0.22,1.26
1.494,1.09,-0.61,-0.17,1.26
1.500,1.06,-0.68,-0.14,1.27
1.505,0.95,-0.59,-0.14,1.12
1.509,0.81,-0.32,-0.14,0.88
1.515,0.64,-0.14,-0.32,0.73
1.520,0.61,-0.10,-0.59,0.86
1.524,0.66,-0.21,-0.95,1.18
1.530,0.79,-0.52,-1.24,1.55
1.535,0.77,-0.92,-1.56,1.97
1.540,0.53,-1.40,-1.92,2.43
1.546,-0.02,-1.74,-1.93,2.60
1.550,-0.90,-1.87,-1.72,2.70
1.555,-1.77,-1.68,-1.11,2.68
1.560,-2.56,-1.31,-0.35,2.90
1.565,-3.14,-0.87,0.34,3.28
1.570,-3.41,-0.42,0.89,3.55
1.575,-3.33,0.21,1.37,3.61
1.581,-3.61,1.13,1.54,4.08
1.586,-5.03,2.46,2.44,6.11
1.590,-5.14,2.47,2.13,6.08
1.591,-3.52,1.49,-0.07,3.82
1.601,-3.07,1.51,-0.65,3.48
1.603,-2.56,2.63,-0.66,3.73
1.606,-2.36,3.71,-0.72,4.45
1.611,-1.93,3.65,-0.88,4.22
1.617,-0.68,3.19,-1.19,3.47
1.621,0.65,3.12,-1.18,3.40
1.626,1.40,2.80,-1.38,3.41
1.631,1.91,1.66,-2.11,3.29
1.636,2.12,0.61,-2.68,3.47
1.641,2.00,0.21,-2.83,3.47
1.646,1.76,0.07,-2.60,3.14
1.651,1.46,-0.20,-2.39,2.80
1.657,1.00,-0.56,-1.89,2.22
1.662,0.36,-0.94,-1.12,1.50
1.666,-0.07,-1.37,-0.49,1.45
1.672,-0.34,-1.71,-0.16,1.75
1.676,-0.68,-1.66,0.04,1.79
1.682,-1.08,-1.37,0.50,1.81
1.687,-1.16,-1.28,0.86,1.93
1.691,-1.28,-1.18,0.77,1.91
1.697,-1.62,-0.89,0.53,1.92
1.701,-1.73,-0.59,0.23,1.85
1.706,-1.45,-0.49,-0.05,1.53
1.716,-1.02,-0.53,-0.30,1.18
1.717,-0.76,-0.56,-0.53,1.09
1.722,-0.80,-0.50,-0.75,1.21
1.727,-1.08,-0.25,-0.93,1.45
1.733,-1.58,0.16,-0.85,1.81
1.737,-2.17,0.62,-0.62,2.34
1.741,-2.65,1.11,-0.48,2.91
1.748,-2.96,1.48,-0.48,3.35
1.753,-3.23,1.64,-0.73,3.69
1.757,-3.36,1.64,-1.30,3.95
1.763,-3.55,1.45,-1.98,4.31
1.768,-4.07,1.04,-2.49,4.88
1.773,-4.62,0.54,-2.83,5.44
1.778,-4.82,0.21,-2.80,5.58
1.783,-4.46,0.07,-2.19,4.96
1.788,-3.62,0.06,-1.51,3.92
1.792,-2.13,-0.16,-1.19,2.44
1.798,-0.28,-0.50,-1.26,1.38
1.803,1.01,-0.36,-1.48,1.83
1.808,1.54,-0.17,-1.64,2.26
1.813,1.55,-0.28,-1.72,2.33
1.818,1.24,-0.66,-1.74,2.24
1.823,0.94,-1.14,-1.62,2.19
1.829,0.59,-1.57,-1.44,2.21
1.833,0.02,-1.88,-1.14,2.20
1.838,-0.56,-1.87,-0.50,2.01
1.848,-1.06,-1.76,0.19,2.07
1.849,-1.34,-1.66,0.75,2.26
1.853,-1.48,-1.70,1.09,2.51
1.858,-1.43,-1.82,1.25,2.63
1.864,-0.88,-1.74,1.33,2.36
1.868,-0.13,-1.54,1.72,2.32
1.874,0.40,-1.18,1.69,2.10
1.880,0.45,-0.62,0.92,1.20
1.884,0.44,-0.11,-0.10,0.46
1.889,0.70,0.23,-1.06,1.29
1.895,0.91,0.39,-1.72,1.99
1.899,0.95,0.38,-2.18,2.40
1.904,0.58,0.01,-2.27,2.34
1.909,-0.25,-0.53,-1.94,2.03
1.915,-1.13,-0.92,-1.36,2.00
1.919,-1.56,-0.92,-0.78,1.97
1.924,-1.53,-0.68,-0.59,1.78
1.930,-1.45,-0.45,-0.64,1.65
1.935,-1.35,-0.55,-0.96,1.75
1.940,-1.22,-0.79,-1.28,1.94
1.946,-0.82,-0.73,-1.99,2.27
1.950,-0.29,-0.63,-2.96,3.04
1.954,0.02,-0.63,-3.35,3.41
1.961,-0.39,-0.56,-3.68,3.75
1.965,-0.90,-0.55,-3.62,3.77
1.969,-1.64,-0.26,-3.64,4.00
1.974,-1.55,-0.10,-2.63,3.05
1.981,-1.27,-0.08,-1.48,1.96
1.984,-1.08,0.02,-0.98,1.45
1.989,-1.11,0.17,-0.46,1.22
1.995,-1.39,0.17,-0.25,1.42
1.999,-1.64,0.09,0.06,1.65
2.005,-1.91,0.11,0.36,1.95
2.010,-1.99,0.19,0.49,2.06
2.015,-1.73,0.25,0.13,1.75
2.020,-1.21,0.23,-0.51,1.33
2.027,-0.77,0.08,-1.07,1.32
2.031,-0.60,-0.15,-1.43,1.56
2.035,-0.79,-0.27,-1.27,1.52
2.040,-1.00,-0.09,-0.82,1.30
2.046,-1.01,0.45,-0.31,1.15
2.051,-1.12,1.11,0.13,1.58
2.052,-1.11,1.51,0.81,2.04
2.056,-1.10,1.48,1.39,2.31
2.061,-1.36,1.13,1.33,2.21
2.066,-1.28,1.00,1.31,2.08
2.071,-1.08,0.91,1.28,1.90
2.078,-1.25,0.57,1.19,1.82
2.081,-1.69,-0.07,1.60,2.33
2.086,-2.02,-0.73,2.61,3.38
2.091,-2.29,-1.23,4.35,5.07
2.098,-2.28,-0.67,6.84,7.24
2.101,-1.89,0.58,7.39,7.65
2.106,-1.74,1.39,4.74,5.24
2.112,-1.44,1.52,1.58,2.62
2.116,-1.10,1.30,-1.58,2.33
2.121,-0.91,0.87,-3.92,4.12
2.127,-0.94,0.31,-5.98,6.07
2.132,-0.85,-0.25,-7.33,7.38
2.137,-0.93,-0.38,-8.04,8.10
2.143,-1.23,-0.21,-7.73,7.83
2.147,-1.52,-0.08,-7.06,7.22
2.152,-1.50,0.00,-6.04,6.23
2.156,-1.17,0.11,-4.70,4.84
2.162,-0.47,0.21,-3.16,3.20
2.167,0.44,0.17,-1.73,1.80
2.172,1.30,0.10,-0.39,1.36
2.178,1.66,0.38,1.71,2.41
2.182,2.75,0.21,1.85,3.32
2.187,4.30,-0.29,0.57,4.34
2.192,5.34,-0.71,-0.24,5.40
2.197,5.86,-1.21,-0.70,6.02
2.203,4.65,-1.05,0.97,4.87
2.209,3.66,-0.90,1.35,4.00
2.213,5.16,-2.82,0.85,5.94
2.217,5.35,-3.71,0.62,6.54
2.222,3.31,-2.19,-0.75,4.04
2.228,1.33,-0.66,-1.34,2.00
2.233,-0.54,0.76,-1.49,1.76
2.238,-1.78,1.69,-1.43,2.84
2.244,-2.52,2.12,-1.46,3.60
2.248,-2.86,2.09,-1.52,3.86
2.253,-2.82,1.78,-1.61,3.71
2.266,-2.37,1.35,-1.82,3.28
2.267,-1.59,0.90,-2.12,2.80
2.268,-0.72,0.57,-2.52,2.68
2.275,-0.11,0.30,-2.78,2.80
2.278,0.03,-0.06,-2.45,2.45
2.283,-0.33,-0.69,-1.46,1.64
2.288,-1.02,-1.52,-0.63,1.94
2.293,-2.10,-2.09,-0.73,3.06
2.298,-3.37,-2.07,-0.76,4.02
2.303,-3.31,-1.95,0.52,3.88
2.309,-1.80,-1.89,1.17,2.86
2.313,-0.75,-1.53,1.21,2.09
2.319,0.15,-1.18,1.62,2.01
2.325,0.94,-0.89,1.49,1.98
2.328,1.60,-0.86,1.35,2.26
2.334,2.10,-1.03,1.46,2.76
2.338,2.57,-1.13,1.68,3.27
2.344,2.72,-1.33,1.46,3.36
2.349,2.63,-1.75,0.69,3.23
2.354,2.33,-2.05,0.22,3.11
2.360,2.02,-2.00,0.08,2.85
2.364,1.80,-1.85,-0.16,2.58
2.369,1.57,-1.73,-0.35,2.36
2.381,1.28,-1.87,-0.41,2.30
2.382,0.92,-2.09,-0.61,2.37
2.384,0.21,-2.24,-1.12,2.51
2.389,-0.59,-2.26,-0.98,2.53
2.395,-1.33,-2.08,-0.12,2.47
2.399,-1.55,-1.98,1.29,2.83
2.405,-1.04,-1.91,2.06,3.00
2.411,-0.46,-1.63,2.25,2.82
2.414,0.40,-1.30,2.28,2.65
2.420,1.38,-0.92,2.14,2.71
2.425,2.20,-0.58,1.28,2.61
2.430,2.43,-0.32,-0.71,2.55
2.435,2.28,-0.09,-1.75,2.88
2.441,1.90,-0.13,-1.93,2.71
2.445,1.64,-0.42,-1.14,2.04
2.450,1.45,-1.04,-0.86,1.99
2.455,1.20,-1.98,-1.18,2.59
2.461,1.22,-2.55,-1.35,3.13
2.465,1.31,-2.59,-1.31,3.18
2.470,1.25,-2.61,-1.16,3.12
2.476,0.94,-2.55,-0.95,2.88
2.480,0.45,-2.22,-0.91,2.44
