time,ax,ay,az,aT
309.835,-0.38,0.13,0.02,0.40
309.840,-0.15,-0.81,-0.33,0.88
309.846,-0.02,-0.40,-0.50,0.64
309.850,-0.30,0.23,-0.25,0.45
309.856,-0.09,-0.46,-0.40,0.62
309.860,-0.08,-0.71,-0.15,0.73
309.865,-0.41,-0.01,-0.15,0.44
309.873,-0.04,-0.23,-0.33,0.41
309.876,-0.13,-0.52,-0.43,0.68
309.881,-0.29,0.21,-0.29,0.46
309.909,0.18,-0.51,-0.31,0.63
309.911,-0.20,-0.50,-0.22,0.58
309.913,-0.30,-0.09,-0.00,0.31
309.915,0.10,-0.88,-0.44,0.99
309.917,-0.24,-0.02,-0.54,0.59
309.918,-0.27,-0.15,-0.14,0.34
309.919,0.01,-0.35,-0.49,0.60
309.921,-0.24,0.33,-0.12,0.42
309.922,-0.10,-0.68,-0.06,0.69
309.927,-0.11,-0.57,-0.35,0.67
309.931,-0.21,-0.07,-0.32,0.39
309.938,-0.09,-0.42,-0.55,0.70
309.942,-0.11,-0.27,-0.32,0.44
309.946,-0.17,-0.23,-0.08,0.30
309.952,-0.15,-0.17,-0.26,0.35
309.957,-0.17,-0.38,-0.27,0.50
309.962,-0.24,-0.23,-0.37,0.50
309.968,-0.12,-0.28,-0.39,0.50
309.972,-0.17,-0.50,-0.31,0.61
309.977,-0.21,-0.09,-0.17,0.28
309.982,-0.04,-0.45,-0.16,0.48
309.987,-0.21,-0.38,-0.28,0.52
309.992,-0.30,-0.09,-0.27,0.41
309.997,-0.05,-0.37,-0.53,0.65
310.003,-0.19,-0.06,-0.33,0.39
310.006,-0.18,-0.36,0.01,0.40
310.013,-0.02,-0.55,-0.29,0.63
310.021,-0.19,-0.03,-0.26,0.32
310.026,-0.19,-0.55,-0.30,0.65
310.027,-0.15,-0.46,-0.48,0.68
310.032,-0.24,0.27,-0.27,0.45
310.057,-0.08,-0.18,-0.30,0.36
310.058,-0.13,-0.54,-0.20,0.59
310.060,-0.34,-0.28,-0.08,0.45
310.061,-0.13,-0.31,-0.40,0.52
310.063,-0.09,-0.46,-0.44,0.64
310.063,-0.35,-0.28,-0.24,0.50
310.068,-0.13,-0.25,-0.32,0.43
310.073,-0.03,-0.31,-0.34,0.46
310.078,-0.30,-0.16,-0.16,0.37
310.085,-0.11,-0.54,-0.24,0.60
310.089,-0.14,-0.40,-0.38,0.57
310.093,-0.33,0.16,-0.24,0.44
310.098,-0.02,-0.56,-0.37,0.67
310.105,-0.10,-0.41,-0.36,0.55
310.108,-0.27,0.09,-0.04,0.29
310.113,-0.01,-0.55,-0.35,0.65
310.119,-0.16,-0.19,-0.42,0.49
310.123,-0.26,-0.12,-0.27,0.39
310.129,-0.04,-0.65,-0.42,0.77
310.137,-0.19,-0.20,-0.14,0.31
310.139,-0.20,-0.19,-0.23,0.36
310.146,-0.07,-0.53,-0.37,0.66
310.153,-0.28,-0.21,-0.19,0.40
310.155,-0.24,-0.02,-0.30,0.39
310.162,0.02,-0.57,-0.36,0.68
310.164,-0.33,-0.40,-0.26,0.58
310.173,-0.26,0.05,-0.25,0.37
310.175,0.02,-0.61,-0.47,0.77
310.179,-0.33,-0.22,-0.28,0.49
310.204,-0.23,-0.05,-0.09,0.26
310.206,0.15,-0.63,-0.43,0.78
310.208,-0.34,0.13,-0.13,0.39
310.209,-0.16,-0.30,-0.20,0.39
310.210,0.11,-0.53,-0.63,0.83
310.212,-0.32,0.11,-0.18,0.38
310.218,-0.22,-0.61,-0.35,0.74
310.220,-0.07,-0.40,-0.28,0.49
310.225,-0.21,-0.06,0.01,0.22
310.230,-0.11,-0.42,-0.37,0.57
310.235,-0.10,-0.32,-0.32,0.46
310.240,-0.22,-0.05,-0.57,0.61
310.245,-0.06,-0.39,-0.39,0.56
310.254,-0.13,-0.62,-0.10,0.64
310.256,-0.22,0.06,-0.06,0.24
310.261,0.07,-0.57,-0.14,0.59
310.264,-0.20,-0.46,-0.46,0.67
310.281,-0.37,0.30,-0.40,0.62
310.285,0.00,-0.55,-0.55,0.78
310.286,-0.20,-0.23,-0.32,0.44
310.288,-0.13,-0.34,0.16,0.40
310.291,0.04,-0.44,-0.41,0.60
310.295,-0.37,0.14,-0.09,0.41
310.303,-0.24,-0.77,-0.42,0.91
310.305,-0.22,-0.11,-0.74,0.78
310.311,-0.20,-0.11,0.05,0.23
310.316,-0.06,-0.68,-0.28,0.74
310.321,-0.08,-0.02,-0.10,0.13
310.326,-0.02,-0.32,-0.11,0.34
310.330,-0.15,-0.32,-0.57,0.68
310.337,-0.30,-0.39,-0.25,0.55
310.341,-0.21,-0.23,-0.52,0.61
310.345,-0.09,-0.19,-0.27,0.34
310.352,-0.19,-0.49,0.12,0.54
310.358,-0.14,-0.10,-0.21,0.28
310.360,-0.02,-0.25,-0.32,0.41
310.360,-0.25,-0.40,-0.50,0.69
310.369,-0.32,-0.23,-0.44,0.59
310.371,-0.03,-0.51,-0.38,0.64
310.376,-0.28,0.06,-0.08,0.30
310.382,-0.14,-0.54,0.10,0.57
310.386,-0.09,-0.46,-0.32,0.56
310.392,-0.26,0.41,-0.25,0.55
310.396,-0.06,-0.76,-0.62,0.98
310.402,-0.22,-0.30,-0.63,0.74
310.406,-0.32,0.08,-0.09,0.34
310.411,-0.00,-0.64,-0.19,0.67
310.421,-0.16,-0.27,-0.12,0.34
310.422,-0.31,-0.14,-0.15,0.37
310.442,-0.08,-0.33,-0.56,0.66
310.443,-0.20,-0.36,-0.41,0.58
310.444,-0.29,-0.23,-0.36,0.51
310.445,-0.01,-0.35,-0.31,0.47
310.451,-0.13,-0.33,-0.07,0.36
310.452,-0.31,-0.08,-0.05,0.33
310.456,-0.06,-0.65,-0.36,0.75
310.461,-0.23,-0.28,-0.47,0.59
310.467,-0.33,0.12,-0.24,0.42
310.472,0.02,-0.60,-0.35,0.69
310.478,-0.11,-0.08,-0.25,0.29
310.482,-0.18,-0.11,-0.09,0.23
310.487,-0.03,-0.70,-0.43,0.82
310.493,-0.30,0.01,-0.27,0.41
310.498,-0.27,-0.23,-0.23,0.42
310.506,-0.06,-0.51,-0.46,0.69
310.507,-0.28,0.00,-0.09,0.30
310.512,-0.18,-0.37,-0.22,0.47
310.518,-0.04,-0.54,-0.51,0.74
310.522,-0.27,-0.11,-0.29,0.41
310.528,-0.19,-0.26,-0.35,0.47
310.542,-0.11,-0.64,-0.28,0.71
310.544,-0.29,-0.22,-0.16,0.40
310.545,-0.10,-0.00,-0.31,0.33
310.577,-0.00,-0.50,-0.30,0.58
310.578,-0.29,-0.14,-0.19,0.38
310.579,-0.12,-0.21,-0.27,0.37
310.580,0.02,-0.65,-0.46,0.80
310.582,-0.34,0.02,-0.25,0.42
310.584,-0.20,-0.31,-0.21,0.42
310.585,-0.00,-0.42,-0.38,0.56
310.586,-0.26,-0.01,-0.09,0.27
310.587,-0.22,-0.62,-0.21,0.70
310.598,-0.12,-0.15,-0.42,0.47
310.599,-0.15,0.10,-0.28,0.33
310.603,-0.10,-0.59,-0.42,0.73
310.608,-0.21,-0.29,-0.27,0.45
310.614,-0.24,-0.29,-0.16,0.40
310.618,-0.07,-0.50,-0.32,0.60
310.627,-0.20,-0.33,-0.21,0.44
310.629,-0.22,-0.09,-0.19,0.30
310.635,0.03,-0.63,-0.32,0.70
310.640,0.22,-2.57,-0.38,2.61
310.643,0.64,-5.36,-0.13,5.40
310.651,-0.48,-4.02,0.47,4.07
310.658,-1.45,0.38,0.32,1.53
310.659,-0.21,0.39,-1.34,1.41
310.676,0.59,-0.13,-1.86,1.95
310.679,-0.12,0.89,-0.34,0.96
310.680,0.32,-1.49,0.25,1.55
310.681,-0.41,-1.81,0.03,1.86
310.689,-0.82,-0.36,0.58,1.07
310.690,-0.15,0.73,-0.44,0.86
310.695,-0.28,2.26,-0.99,2.48
310.700,0.49,1.59,-0.28,1.69
310.705,0.79,0.13,0.53,0.96
310.710,0.05,-0.71,0.94,1.18
310.723,0.38,-1.36,0.07,1.41
310.724,0.25,-0.58,-0.95,1.14
310.725,0.04,1.13,-1.46,1.85
310.730,-0.17,1.13,-1.07,1.56
310.735,-0.62,0.52,0.20,0.83
310.740,-0.95,-0.46,1.15,1.56
310.750,-0.70,-1.04,0.66,1.42
310.754,-0.55,-0.06,-0.47,0.73
310.756,-0.16,0.49,-1.26,1.36
310.760,0.22,0.48,-1.43,1.53
310.767,0.48,-0.40,-0.59,0.85
310.771,0.22,-0.30,0.46,0.59
310.784,0.29,0.07,0.44,0.54
310.786,0.07,0.43,-0.18,0.47
310.788,-0.06,0.70,-0.75,1.02
310.791,0.06,1.00,-0.65,1.20
310.802,0.14,0.90,-0.12,0.91
310.804,-0.18,-0.33,0.36,0.52
310.844,-0.34,-0.22,0.44,0.60
310.846,-0.38,-0.30,-0.31,0.57
310.848,-0.16,0.02,-1.08,1.09
310.850,-0.41,0.21,-0.89,1.00
310.852,0.01,0.22,-0.47,0.52
310.854,0.22,0.29,0.13,0.39
310.855,-0.01,-0.47,0.46,0.66
310.856,-0.15,-0.82,-0.20,0.85
310.857,-0.05,0.25,-0.92,0.95
310.859,-0.02,0.99,-1.11,1.49
310.860,-0.14,0.45,-0.32,0.57
310.861,-0.08,0.03,0.48,0.49
310.862,0.05,0.31,0.69,0.76
310.869,-0.05,0.28,0.22,0.36
310.872,-0.13,0.13,-0.61,0.64
310.876,-0.04,0.35,-1.22,1.27
310.881,0.09,0.38,-0.92,1.00
310.886,0.10,-0.33,-0.09,0.36
310.891,0.05,-0.60,0.51,0.79
310.900,-0.00,0.10,0.12,0.16
310.901,-0.25,0.38,-0.58,0.74
310.906,-0.49,0.32,-0.86,1.04
310.932,-0.43,0.35,-0.76,0.95
310.934,-0.23,0.07,-0.11,0.26
310.937,0.02,-0.16,0.52,0.54
310.938,0.24,0.04,0.32,0.40
310.939,0.20,0.42,-0.33,0.57
310.940,0.04,0.42,-0.92,1.01
310.942,-0.02,0.04,-0.98,0.98
310.950,-0.02,-0.06,-0.33,0.34
310.952,0.05,0.02,0.32,0.32
310.957,0.07,0.15,0.36,0.40
310.963,-0.10,0.40,-0.11,0.43
310.967,-0.28,0.33,-0.68,0.81
310.973,-0.41,-0.07,-0.84,0.93
310.979,-0.39,-0.25,-0.46,0.65
310.984,-0.17,0.05,-0.02,0.17
310.988,0.03,0.33,0.16,0.36
310.993,0.08,0.29,-0.03,0.31
310.999,0.04,0.06,-0.52,0.52
311.003,-0.05,-0.20,-0.75,0.78
311.008,-0.05,-0.07,-0.62,0.62
311.016,0.05,0.29,-0.24,0.38
311.018,0.05,0.46,0.21,0.51
311.023,-0.03,0.44,0.19,0.48
311.050,-0.20,0.22,-0.20,0.36
311.052,-0.38,-0.01,-0.52,0.64
311.055,-0.25,0.04,-0.65,0.70
311.057,-0.10,0.25,-0.41,0.49
311.058,0.02,0.25,-0.04,0.26
311.060,0.02,-0.01,-0.01,0.03
311.061,-0.07,-0.23,-0.28,0.37
311.066,-0.14,-0.11,-0.60,0.63
311.068,-0.14,0.11,-0.76,0.78
311.074,-0.08,0.29,-0.43,0.52
311.082,-0.03,0.34,0.06,0.35
311.084,-0.02,0.16,0.28,0.32
311.089,-0.15,-0.01,0.07,0.17
311.094,-0.16,0.15,-0.45,0.50
311.101,-0.16,0.36,-0.74,0.84
311.104,-0.10,0.33,-0.58,0.68
311.108,0.04,0.11,-0.14,0.18
311.114,0.07,-0.07,0.21,0.23
311.119,0.09,0.00,0.03,0.09
311.123,-0.06,0.11,-0.45,0.47
311.131,-0.18,0.29,-0.82,0.89
311.134,-0.22,0.21,-0.67,0.74
311.139,-0.16,0.03,-0.19,0.25
311.165,-0.11,-0.01,0.24,0.27
311.167,-0.02,0.13,0.19,0.24
311.169,-0.02,0.33,-0.23,0.40
311.170,-0.09,0.23,-0.65,0.70
311.172,-0.12,0.04,-0.81,0.81
311.173,-0.02,-0.09,-0.42,0.43
311.175,0.08,0.09,0.00,0.12
311.181,0.16,0.21,0.17,0.31
311.185,-0.01,0.30,-0.10,0.31
311.189,-0.17,0.20,-0.51,0.57
311.196,-0.31,-0.01,-0.68,0.75
311.200,-0.24,0.03,-0.44,0.50
311.205,-0.14,0.20,-0.09,0.26
311.211,-0.02,0.27,0.13,0.30
311.215,-0.04,0.17,-0.06,0.19
311.220,-0.04,-0.06,-0.47,0.47
311.225,-0.19,-0.06,-0.74,0.77
311.231,-0.07,0.03,-0.64,0.64
311.235,-0.01,0.24,-0.27,0.36
311.240,0.02,0.23,0.10,0.25
311.248,0.04,0.19,0.05,0.20
311.251,-0.19,0.05,-0.23,0.30
311.255,-0.17,0.10,-0.51,0.55
311.280,-0.17,0.24,-0.60,0.67
311.281,-0.13,0.26,-0.32,0.44
311.283,-0.04,0.18,-0.03,0.18
311.284,-0.00,0.05,0.05,0.07
311.286,-0.00,-0.03,-0.23,0.23
311.287,-0.09,0.06,-0.61,0.62
311.288,-0.08,0.16,-0.68,0.70
311.291,-0.08,0.19,-0.47,0.51
311.297,0.01,0.13,-0.08,0.15
311.301,-0.05,0.08,0.09,0.13
311.306,-0.12,0.13,-0.09,0.20
311.312,-0.13,0.24,-0.40,0.48
311.316,-0.15,0.25,-0.62,0.68
311.321,-0.11,0.13,-0.46,0.49
311.326,-0.00,0.06,-0.15,0.16
311.331,0.02,0.06,-0.02,0.07
311.337,0.04,0.11,-0.12,0.17
311.343,-0.04,0.17,-0.39,0.43
311.348,-0.13,0.14,-0.61,0.64
311.352,-0.16,0.06,-0.50,0.53
311.356,-0.12,0.06,-0.19,0.23
311.363,-0.07,0.14,0.06,0.17
311.366,-0.08,0.22,0.04,0.24
311.372,-0.10,0.20,-0.28,0.35
311.380,-0.14,0.12,-0.50,0.53
311.387,-0.12,0.05,-0.53,0.55
311.389,-0.08,0.08,-0.34,0.36
311.417,0.01,0.17,-0.08,0.18
311.419,0.01,0.18,-0.05,0.19
311.421,-0.04,0.12,-0.24,0.27
311.423,-0.11,0.09,-0.47,0.49
311.425,-0.14,0.10,-0.53,0.55
311.428,-0.13,0.15,-0.37,0.42
311.430,-0.09,0.20,-0.09,0.24
311.431,-0.06,0.18,0.04,0.20
311.432,-0.07,0.12,-0.11,0.18
311.437,-0.13,0.06,-0.38,0.40
311.444,-0.14,0.08,-0.55,0.58
311.447,-0.09,0.14,-0.47,0.50
311.453,-0.05,0.13,-0.21,0.25
311.459,0.01,0.11,-0.04,0.11
311.468,0.02,0.09,-0.06,0.11
311.469,-0.07,0.11,-0.27,0.30
311.472,-0.13,0.17,-0.54,0.58
311.480,-0.16,0.20,-0.51,0.57
311.483,-0.11,0.19,-0.24,0.32
311.488,-0.03,0.13,-0.01,0.14
311.494,-0.00,0.12,-0.00,0.12
311.498,-0.04,0.13,-0.25,0.28
311.504,-0.09,0.12,-0.51,0.53
311.514,-0.09,0.13,-0.54,0.57
311.516,-0.07,0.10,-0.35,0.37
311.544,-0.08,0.07,-0.14,0.17
311.546,-0.09,0.14,-0.03,0.17
311.547,-0.07,0.18,-0.19,0.27
311.548,-0.10,0.19,-0.41,0.46
311.550,-0.15,0.15,-0.46,0.51
311.551,-0.09,0.12,-0.37,0.39
311.552,-0.04,0.14,-0.16,0.22
311.554,-0.04,0.12,-0.06,0.14
311.560,-0.05,0.18,-0.18,0.25
311.564,-0.09,0.14,-0.39,0.42
311.569,-0.13,0.09,-0.51,0.53
311.575,-0.11,0.06,-0.44,0.45
311.579,-0.08,0.13,-0.25,0.29
311.584,-0.04,0.16,-0.09,0.19
311.589,-0.05,0.14,-0.12,0.19
311.595,-0.11,0.16,-0.30,0.36
311.599,-0.17,0.11,-0.44,0.49
311.604,-0.09,0.12,-0.49,0.51
311.609,-0.02,0.15,-0.33,0.36
311.614,-0.00,0.18,-0.11,0.21
311.619,-0.03,0.13,-0.08,0.15
311.627,-0.04,0.09,-0.24,0.26
311.630,-0.10,0.11,-0.50,0.52
311.635,-0.14,0.11,-0.48,0.51
311.643,-0.11,0.18,-0.34,0.40
311.646,-0.02,0.15,-0.16,0.22
311.650,-0.07,0.14,-0.06,0.17
311.655,-0.03,0.14,-0.21,0.25
311.663,-0.12,0.05,-0.37,0.40
311.666,0.21,-1.94,-0.51,2.01
311.671,-0.42,-0.52,-0.04,0.67
311.680,-0.16,-0.84,0.34,0.93
311.684,0.01,-2.00,-0.28,2.02
311.687,0.24,-0.99,-0.74,1.26
311.711,-0.19,-0.57,-0.35,0.70
311.714,-0.30,-1.25,-0.53,1.39
311.715,0.01,-2.14,-0.54,2.20
311.717,-0.50,-1.36,-0.19,1.46
311.719,-0.05,-1.27,-0.16,1.28
311.720,-0.27,-0.54,-0.14,0.62
311.721,-0.26,-0.23,-0.28,0.45
311.727,-0.14,0.47,-0.51,0.71
311.730,0.11,0.32,-0.46,0.57
311.736,0.06,-0.20,-0.18,0.28
311.741,0.35,-0.25,-0.10,0.44
311.746,0.18,0.41,0.05,0.45
311.747,0.12,0.32,-0.18,0.38
311.751,0.00,0.45,-0.42,0.61
311.757,-0.02,0.37,-0.37,0.52
311.761,-0.00,0.50,-0.18,0.53
311.766,0.11,0.20,-0.26,0.35
311.771,-0.21,0.08,-0.08,0.24
311.782,-0.13,0.16,-0.23,0.30
311.784,-0.15,0.27,-0.74,0.80
311.786,-0.34,-0.10,-0.60,0.69
311.794,-0.34,0.11,-0.37,0.51
311.797,-0.08,0.43,-0.29,0.53
311.801,-0.14,0.54,0.05,0.56
311.826,-0.05,0.11,-0.16,0.20
311.827,0.05,-0.12,-0.42,0.44
311.829,0.00,0.41,-0.40,0.57
311.832,0.01,0.39,-0.38,0.55
311.833,0.03,0.05,-0.17,0.18
311.835,0.08,0.22,-0.07,0.24
311.841,0.03,0.49,-0.20,0.53
311.843,0.00,0.03,-0.03,0.04
311.847,-0.22,-0.14,-0.21,0.34
311.852,-0.11,0.00,-0.39,0.40
311.857,-0.11,0.46,-0.34,0.58
311.863,-0.01,0.18,-0.41,0.45
311.867,-0.11,-0.01,-0.22,0.25
311.873,-0.19,0.26,-0.20,0.38
311.881,-0.14,0.42,-0.43,0.62
311.883,-0.20,0.32,-0.43,0.57
311.887,-0.13,0.34,-0.33,0.49
311.893,0.10,0.47,-0.26,0.55
311.897,0.05,0.42,-0.09,0.44
311.902,-0.07,0.10,-0.16,0.20
311.910,-0.01,-0.01,-0.34,0.34
311.913,-0.10,0.28,-0.37,0.48
311.918,-0.15,0.24,-0.40,0.49
311.930,-0.06,0.04,-0.22,0.23
311.932,-0.03,0.14,-0.08,0.16
311.933,-0.09,0.23,-0.13,0.28
311.958,-0.19,-0.05,-0.22,0.29
311.960,-0.11,-0.19,-0.45,0.50
311.963,0.00,0.11,-0.52,0.53
311.964,-0.04,0.24,-0.28,0.37
311.965,-0.03,0.11,-0.05,0.12
311.966,0.07,0.18,-0.02,0.19
311.969,-0.10,0.61,-0.18,0.65
311.975,0.05,0.26,-0.50,0.57
311.978,-0.03,0.05,-0.43,0.43
311.984,-0.08,0.39,-0.29,0.50
311.989,0.02,0.60,-0.26,0.65
311.994,-0.06,0.42,-0.14,0.45
312.000,-0.15,0.16,-0.20,0.30
312.005,-0.16,0.07,-0.31,0.35
312.009,-0.26,0.09,-0.41,0.50
312.015,-0.25,0.04,-0.52,0.57
312.019,-0.06,-0.01,-0.34,0.34
312.025,-0.01,0.17,-0.05,0.18
312.029,0.09,0.02,-0.02,0.09
312.034,-0.09,0.09,-0.11,0.17
312.040,-0.00,0.02,-0.43,0.43
312.045,-0.15,0.48,-0.29,0.59
312.050,0.15,0.03,-0.34,0.37
312.055,0.07,0.32,-0.17,0.37
312.060,0.08,0.22,-0.07,0.25
312.065,-0.08,0.43,-0.31,0.54
312.073,-0.04,0.13,-0.38,0.41
312.075,-0.27,0.45,-0.35,0.63
312.084,0.04,0.19,-0.55,0.58
312.085,-0.20,0.36,-0.23,0.47
312.096,-0.15,0.21,-0.07,0.27
312.099,-0.17,0.20,-0.17,0.32
312.136,-0.12,0.29,-0.30,0.44
312.139,-0.06,0.15,-0.61,0.64
312.141,0.03,-0.43,-0.52,0.68
312.142,-0.09,-0.20,-0.07,0.23
312.143,0.07,0.17,-0.05,0.19
312.145,0.08,0.03,0.03,0.09
312.146,0.03,0.37,-0.38,0.53
312.147,0.13,-0.04,-0.47,0.49
312.148,-0.00,0.42,-0.34,0.54
312.150,0.08,0.18,-0.18,0.26
312.150,-0.12,0.22,0.00,0.25
312.157,0.04,0.28,-0.13,0.32
312.161,-0.07,0.29,-0.35,0.46
312.166,-0.00,0.03,-0.55,0.55
312.172,-0.19,0.28,-0.44,0.55
312.176,-0.13,0.22,-0.28,0.38
312.181,-0.19,0.39,-0.10,0.45
312.185,-0.11,0.15,-0.24,0.30
312.194,-0.20,0.52,-0.30,0.63
312.196,-0.14,0.90,-0.42,1.00
312.201,-0.28,1.36,-0.28,1.42
312.210,0.07,1.27,-0.29,1.31
312.212,-0.09,1.52,-0.12,1.53
312.214,-0.01,1.33,-0.24,1.35
312.216,-0.19,1.27,-0.35,1.33
312.237,-0.07,1.74,-0.33,1.77
312.239,-0.11,1.78,0.07,1.79
312.240,-0.03,1.47,0.00,1.47
312.241,0.28,1.25,-0.23,1.30
312.243,0.04,1.41,-0.35,1.45
312.247,0.34,0.69,-0.57,0.96
312.254,-0.29,0.62,-0.02,0.69
312.257,0.18,-0.49,-0.38,0.64
312.262,-0.02,-0.38,-0.35,0.52
312.267,-0.25,-0.20,-0.30,0.44
312.272,-0.10,-0.19,-0.47,0.52
312.276,-0.34,0.17,-0.49,0.62
312.282,-0.30,-0.10,-0.40,0.50
312.289,-0.23,-0.37,-0.30,0.53
312.292,-0.20,-0.40,-0.27,0.53
312.297,-0.06,-0.41,-0.27,0.49
312.307,-0.01,-0.15,-0.38,0.41
312.308,0.08,0.06,-0.38,0.40
312.314,0.10,0.18,-0.26,0.32
312.317,0.12,0.34,-0.21,0.41
312.324,0.05,0.21,-0.16,0.27
312.328,-0.01,0.02,-0.14,0.14
312.333,0.04,-0.02,-0.21,0.22
312.341,0.10,0.10,-0.32,0.35
312.343,0.01,0.01,-0.41,0.41
312.347,-0.14,-0.22,-0.33,0.42
312.370,-0.22,-0.30,-0.20,0.42
312.372,-0.20,-0.23,-0.24,0.39
312.373,-0.15,-0.14,-0.31,0.37
312.375,-0.10,-0.10,-0.35,0.37
312.376,-0.07,-0.05,-0.35,0.36
312.378,-0.03,-0.04,-0.28,0.29
312.384,-0.01,-0.10,-0.23,0.25
312.390,0.00,-0.15,-0.24,0.28
312.392,0.03,-0.03,-0.27,0.28
312.398,0.07,0.13,-0.32,0.35
312.404,0.06,0.11,-0.31,0.34
312.408,0.00,0.08,-0.24,0.25
312.413,-0.02,0.07,-0.24,0.25
312.419,-0.07,-0.02,-0.23,0.24
312.423,-0.11,-0.14,-0.25,0.31
312.429,-0.12,-0.14,-0.33,0.38
312.433,-0.08,-0.07,-0.39,0.40
312.438,-0.08,-0.12,-0.32,0.35
312.443,-0.14,-0.21,-0.28,0.37
312.449,-0.15,-0.16,-0.28,0.36
312.456,-0.10,-0.02,-0.32,0.34
312.458,-0.07,0.01,-0.35,0.36
312.465,-0.03,0.01,-0.26,0.26
312.491,-0.01,0.03,-0.21,0.21
312.494,-0.01,0.02,-0.18,0.18
312.495,-0.01,-0.05,-0.25,0.25
312.498,-0.06,-0.05,-0.30,0.31
312.499,-0.05,0.07,-0.34,0.35
312.500,-0.05,0.06,-0.30,0.31
312.500,-0.05,-0.02,-0.27,0.28
312.506,-0.12,-0.09,-0.23,0.27
312.509,-0.15,-0.15,-0.27,0.34
312.514,-0.15,-0.14,-0.27,0.34
312.519,-0.10,-0.09,-0.35,0.37
312.524,-0.13,-0.07,-0.27,0.31
312.530,-0.05,-0.02,-0.27,0.27
312.535,-0.10,-0.06,-0.25,0.28
312.540,-0.05,-0.11,-0.27,0.30
312.545,-0.06,-0.03,-0.29,0.29
312.550,0.03,0.02,-0.36,0.36
312.556,-0.01,0.04,-0.33,0.33
312.559,0.06,-0.02,-0.27,0.28
312.564,0.02,-0.00,-0.22,0.22
312.570,-0.05,-0.05,-0.23,0.24
312.575,-0.11,-0.04,-0.25,0.27
312.580,-0.15,-0.04,-0.40,0.43
312.590,-0.11,-0.04,-0.34,0.36
312.592,-0.07,-0.02,-0.25,0.26
312.595,-0.05,-0.13,-0.19,0.24
312.612,-0.09,-0.20,-0.24,0.33
312.614,-0.10,-0.09,-0.31,0.34
312.615,-0.04,-0.05,-0.36,0.37
312.617,-0.01,-0.01,-0.34,0.34
312.620,-0.02,0.01,-0.31,0.31
312.625,-0.02,0.03,-0.21,0.22
312.630,-0.03,-0.05,-0.19,0.20
312.636,-0.02,-0.05,-0.29,0.29
312.640,-0.01,-0.01,-0.32,0.32
312.646,0.02,-0.02,-0.33,0.33
312.650,-0.09,-0.02,-0.25,0.26
312.655,-0.04,-0.07,-0.21,0.23
312.661,-0.06,-0.09,-0.21,0.23
312.667,-0.10,-0.09,-0.26,0.29
312.671,-0.12,-0.06,-0.36,0.38
312.672,-0.12,-0.07,-0.38,0.41
312.676,-0.04,-0.04,-0.30,0.31
312.680,-0.03,-0.03,-0.20,0.21
312.687,-0.08,-0.04,-0.19,0.21
312.690,-0.05,-0.06,-0.28,0.30
312.696,-0.07,-0.02,-0.31,0.32
312.701,-0.03,0.01,-0.34,0.34
312.706,0.02,-0.02,-0.31,0.31
312.711,-0.01,-0.03,-0.22,0.22
312.721,-0.05,-0.04,-0.15,0.16
312.724,-0.04,-0.04,-0.26,0.27
312.726,-0.06,-0.00,-0.32,0.32
312.731,-0.12,-0.04,-0.34,0.37
312.752,-0.08,-0.02,-0.29,0.30
312.754,-0.06,-0.03,-0.22,0.23
312.756,-0.02,-0.06,-0.22,0.23
312.757,-0.05,-0.09,-0.28,0.30
312.758,-0.07,-0.08,-0.36,0.37
312.763,-0.06,-0.06,-0.38,0.39
312.767,-0.03,-0.04,-0.32,0.32
312.773,0.02,-0.01,-0.25,0.25
312.777,-0.02,-0.04,-0.20,0.20
312.784,-0.06,-0.05,-0.21,0.23
312.789,-0.04,-0.03,-0.28,0.28
312.792,-0.03,-0.02,-0.32,0.32
312.797,-0.05,-0.04,-0.29,0.30
312.803,-0.05,-0.07,-0.24,0.25
312.807,-0.03,-0.05,-0.20,0.20
312.813,-0.04,-0.04,-0.26,0.27
312.817,-0.06,-0.06,-0.37,0.38
312.823,-0.08,-0.06,-0.38,0.39
312.827,-0.06,-0.06,-0.30,0.31
312.836,-0.03,-0.06,-0.26,0.26
312.840,-0.05,-0.05,-0.23,0.24
312.844,-0.05,-0.04,-0.21,0.22
312.871,-0.07,-0.05,-0.31,0.32
312.873,-0.07,-0.05,-0.34,0.35
312.874,-0.06,-0.04,-0.29,0.30
312.876,-0.06,-0.04,-0.25,0.26
312.878,-0.04,-0.06,-0.22,0.23
312.879,-0.05,-0.05,-0.26,0.27
312.880,-0.07,-0.06,-0.31,0.32
312.887,-0.03,-0.06,-0.38,0.39
312.889,-0.08,-0.07,-0.33,0.35
312.893,-0.10,-0.08,-0.25,0.28
312.902,-0.06,-0.09,-0.24,0.26
312.903,-0.06,-0.07,-0.23,0.25
312.909,-0.05,-0.06,-0.27,0.28
312.913,-0.05,-0.03,-0.34,0.35
312.921,-0.08,-0.04,-0.35,0.36
312.923,-0.09,-0.04,-0.25,0.27
312.928,-0.08,-0.07,-0.22,0.24
312.934,-0.04,-0.06,-0.27,0.28
312.938,-0.05,-0.05,-0.27,0.28
312.944,-0.06,-0.05,-0.31,0.32
312.955,-0.08,-0.09,-0.34,0.36
312.957,-0.06,-0.05,-0.23,0.25
312.960,-0.05,-0.02,-0.22,0.23
312.986,-0.06,-0.07,-0.22,0.24
312.987,-0.04,-0.07,-0.29,0.30
312.989,-0.09,-0.04,-0.28,0.30
